player,season,mp,y_defense,baseline,hats_features,structure_loss_0.10,component_fixed,component_fixed_l2,component_fixed_masked,published_output_0.075,direct_component_blend_0.25
Kevin Durant,2013-14,3122.0,-0.6000000238418579,-0.09735726476935866,-0.24854046827416987,-0.170432724127014,-0.2661457467294318,-0.2500133809679809,0.03999307245280942,-0.10279756122016422,-0.13955438525937694
Chris Paul,2013-14,2171.0,3.9000000953674316,2.2798608998536647,2.003638985662539,1.8900400983303147,2.1221654455693684,2.312539424809623,2.0090335378526785,2.166816769057959,2.2404370362825907
Kevin Love,2013-14,2797.0,0.8999999761581421,-0.11259923305384927,0.009286721283890506,0.051503434476848894,0.1592806518081802,0.006334836511738578,0.33269739965458395,-0.07200804581916811,-0.04462926183834189
James Harden,2013-14,2777.0,-0.30000001192092896,-0.05908059445525174,0.07587451576990054,0.05562457200533054,0.12700898139189215,0.0018416435512498691,0.11379874114607783,-0.05345363791532447,-0.012558200493465767
Kyle Lowry,2013-14,2862.0,1.2999999523162842,0.5878964048666575,0.8751953010837364,0.8290968040476766,0.6667952614323822,0.7237438350114985,0.8716543736837455,0.6067836594746394,0.6076211190080887
Joakim Noah,2013-14,2820.0,4.5,3.1298828498705262,3.8034006993080083,3.843065368096036,3.158416745878318,3.3032873261319295,3.5448952942345877,3.176284758586015,3.137016323872474
Paul George,2013-14,2898.0,2.9000000953674316,2.7732979277379375,3.0428921863006835,2.9992051390592147,2.5956600786398116,2.7536994638445282,2.4717315469378627,2.7705210071019866,2.728888465463406
LeBron James,2013-14,2902.0,-1.2999999523162842,-0.2878174926741108,-0.4758681922794991,-0.5485186396377476,-0.31773466866520145,-0.4165231547580458,-0.40212310109634514,-0.32046266501912785,-0.2952967866718834
Goran Dragic,2013-14,2668.0,0.20000000298023224,-0.560227003292905,-0.6799563152894903,-0.68251229582564,-0.48396138242534903,-0.4778524975410648,-0.4159967988746828,-0.57918703278259,-0.541160598076016
Dirk Nowitzki,2013-14,2628.0,0.4000000059604645,0.32985556948256944,0.3494541324974082,0.29568025698889494,0.3309961141233401,0.4175141626027016,0.5771795958699713,0.30993735635590086,0.3301407056427621
Carmelo Anthony,2013-14,2982.0,-0.4000000059604645,-0.20100214753722606,-0.19921752061234982,-0.28441945375131455,-0.25163237228227897,-0.1899505936751333,-0.30590621407365026,-0.24412255637041472,-0.21365970372348927
Kawhi Leonard,2013-14,1923.0,5.0,3.774599239903571,4.134960821573094,3.9954923502974515,3.805855909758528,3.8039465446028524,3.9228681824059253,3.7546236572375298,3.78241340736731
DeMarcus Cousins,2013-14,2298.0,3.299999952316284,2.5098633275939823,2.704493195758088,2.6031423777586977,2.440987271755509,2.502693764987507,2.4061494902131155,2.4643477908710985,2.492644313634364
Ricky Rubio,2013-14,2638.0,1.7999999523162842,1.4074385619155727,1.4264398935235123,1.3664268961293011,1.297642121782592,1.2231388459791777,1.1899364257112646,1.3086508583510952,1.3799894518823275
Jimmy Butler,2013-14,2591.0,3.4000000953674316,2.628524572980491,2.8530892600668514,2.841579762616948,2.607745637473548,2.7259468433195257,2.935801231042979,2.6485355863951527,2.6233298391037554
Blake Griffin,2013-14,2863.0,0.30000001192092896,1.7592434591550314,1.6254209102396802,1.5588522279913257,1.8056672945313879,1.7632887617015818,1.802910606514582,1.6652860207545837,1.7708494179991203
Kemba Walker,2013-14,2614.0,2.299999952316284,2.2049559589048746,2.002597671187227,1.9760807988685944,2.0851140801077053,2.0920826641419277,1.9449164988099585,2.1896852528055937,2.1749954892055823
Isaiah Thomas,2013-14,2497.0,0.4000000059604645,-0.21857328709648235,-0.24086183926934024,-0.24764647273753343,-0.20295974321112242,-0.2644772628873249,-0.4725337066603011,-0.21798560505679312,-0.21466990112514236
Klay Thompson,2013-14,2868.0,0.800000011920929,1.3526808601938842,1.3257630128797728,1.2930837041027865,1.1571183512632566,0.934162023631953,0.9324557562250073,1.3313601190369317,1.3037902329612272
Mike Conley,2013-14,2446.0,0.4000000059604645,0.20150693279073054,0.24234978511169672,0.250337373234178,0.06075444064749952,0.09765412475119456,0.2260426196054552,0.16738025661627054,0.1663188097549228
LaMarcus Aldridge,2013-14,2498.0,2.200000047683716,1.527873752490747,1.272425603946057,1.2395230843766443,1.5570510498007313,1.6562017298424803,1.407768362862302,1.4641352700471213,1.5351680768182432
Wesley Matthews,2013-14,2780.0,-0.10000000149011612,0.16302466632629448,0.39581542560830035,0.3831810914019229,0.1774438578757318,0.18649597897291945,0.22433385888056984,0.12991334965944826,0.16662946421365382
Mario Chalmers,2013-14,2178.0,2.5,1.834643513338845,1.5493183450830126,1.4625900646497265,1.634828524476877,1.5267046764353254,1.5334323498788116,1.6933043564386967,1.784689766123353
Anthony Davis,2013-14,2358.0,2.299999952316284,1.06352742177884,1.160704980214007,0.9883182058481128,1.105592553905182,1.0963229760072455,1.3562980914538043,0.9893466935637715,1.0740437048104254
Robin Lopez,2013-14,2603.0,2.0,2.1776903447002134,2.1105708561441254,2.086580208918276,2.153392539880821,2.141997910302071,1.8609602401564465,2.1220366521826537,2.1716158934953653
Damian Lillard,2013-14,2937.0,-1.5,-0.6741768810935336,-0.7866634508758203,-0.7630567089944283,-0.7447852197947995,-0.7717918267510742,-0.8579526747031095,-0.6920065374622094,-0.6918289657688501
Paul Millsap,2013-14,2482.0,2.700000047683716,2.1754897757871685,2.231859250203905,2.1064137247145207,2.249628399963214,2.183959039058939,2.485617882084517,2.1357713846214175,2.19402443183118
DeMarre Carroll,2013-14,2341.0,2.5999999046325684,1.8479410217848748,1.7758554183530246,1.6953016969109322,1.86371636278693,1.8083947591576044,2.1205786455343896,1.8024048257217384,1.8518848570353885
Nicolas Batum,2013-14,2956.0,0.0,0.29369478372737634,0.2391473371148033,0.2562047279837024,0.2899985213451893,0.38666205007908916,0.04332179084855886,0.22293948573649436,0.2927707181318296
John Wall,2013-14,2980.0,-0.20000000298023224,0.3205219917564257,0.3300647387025634,0.30423168437860454,0.1259776859672736,0.1611877357699131,-0.08700590199533903,0.28287930830530433,0.2718859153091377
Andre Iguodala,2013-14,2040.0,2.5999999046325684,2.86118291667442,2.8881775225624837,2.835991016017938,2.8632676267582693,2.835328527113966,2.5089226113838246,2.811465868130541,2.861704094195382
DeAndre Jordan,2013-14,2870.0,1.100000023841858,2.3164585111507625,1.9693367877394152,1.9300079066795193,2.294079657619146,2.144346829284382,2.16192420500257,2.213039628867411,2.3108637977678583
Ty Lawson,2013-14,2222.0,-0.30000001192092896,-1.9171411276487191,-1.709075204233014,-1.7494142090329672,-1.8031548694504824,-1.5705356889158049,-1.6841412794520103,-1.9133515071072458,-1.88864456309916
