player,season,mp,y_defense,baseline,structure_penalty_l2_0.05,structure_penalty_l2_0.10,structure_penalty_l2_0.25,published_output_0.075
Kevin Durant,2013-14,3122.0,-0.6000000238418579,-0.09735726476935866,-0.20753517619342177,-0.2677561593886775,-0.193939202044655,-0.10279756122016422
Chris Paul,2013-14,2171.0,3.9000000953674316,2.2798608998536647,1.956070646082178,1.9201852148458218,1.905534745257791,2.166816769057959
Kevin Love,2013-14,2797.0,0.8999999761581421,-0.11259923305384927,0.02857986366049141,0.0586026407838855,-0.0028000322126384564,-0.07200804581916811
James Harden,2013-14,2777.0,-0.30000001192092896,-0.05908059445525174,-0.03565695968887724,-0.08641716604710963,-0.02020588197469056,-0.05345363791532447
Kyle Lowry,2013-14,2862.0,1.2999999523162842,0.5878964048666575,0.9358507412716286,0.9179651132222175,0.9221039577396953,0.6067836594746394
Joakim Noah,2013-14,2820.0,4.5,3.1298828498705262,3.8906400071860756,3.856937038962457,3.8770102521352507,3.176284758586015
Paul George,2013-14,2898.0,2.9000000953674316,2.7732979277379375,3.119458013659311,3.1114658821328414,3.009267878146078,2.7705210071019866
LeBron James,2013-14,2902.0,-1.2999999523162842,-0.2878174926741108,-0.7085917800394166,-0.6699153852633325,-0.703723927318096,-0.32046266501912785
Goran Dragic,2013-14,2668.0,0.20000000298023224,-0.560227003292905,-0.6110415321397926,-0.6925402845179798,-0.6869431754975526,-0.57918703278259
Dirk Nowitzki,2013-14,2628.0,0.4000000059604645,0.32985556948256944,0.28719646123337145,0.3434464620381874,0.2930186262441417,0.30993735635590086
Carmelo Anthony,2013-14,2982.0,-0.4000000059604645,-0.20100214753722606,-0.19656008604749559,-0.22097498564925017,-0.3228193574425387,-0.24412255637041472
Kawhi Leonard,2013-14,1923.0,5.0,3.774599239903571,4.050017474717421,4.079770149861218,3.978336909976208,3.7546236572375298
DeMarcus Cousins,2013-14,2298.0,3.299999952316284,2.5098633275939823,2.817590348923442,2.7871983536437877,2.73660137068427,2.4643477908710985
Ricky Rubio,2013-14,2638.0,1.7999999523162842,1.4074385619155727,1.3791943625661696,1.3408179677050223,1.227670316589525,1.3086508583510952
Jimmy Butler,2013-14,2591.0,3.4000000953674316,2.628524572980491,3.049028031836434,3.0232097757850958,2.926596932136164,2.6485355863951527
Blake Griffin,2013-14,2863.0,0.30000001192092896,1.7592434591550314,1.6878648121662345,1.6510004798430638,1.5528152314681303,1.6652860207545837
Kemba Walker,2013-14,2614.0,2.299999952316284,2.2049559589048746,1.9792060534819664,1.9393436796151686,2.032702180917646,2.1896852528055937
Isaiah Thomas,2013-14,2497.0,0.4000000059604645,-0.21857328709648235,-0.4160457413873554,-0.41939731252326046,-0.40707778140811535,-0.21798560505679312
Klay Thompson,2013-14,2868.0,0.800000011920929,1.3526808601938842,0.9593086196888096,1.0362211980331408,1.1460057617708461,1.3313601190369317
Mike Conley,2013-14,2446.0,0.4000000059604645,0.20150693279073054,0.22456593337728056,0.21649165293981273,0.18784363339139215,0.16738025661627054
LaMarcus Aldridge,2013-14,2498.0,2.200000047683716,1.527873752490747,1.2411591359963365,1.180025909437745,1.1217636189987907,1.4641352700471213
Wesley Matthews,2013-14,2780.0,-0.10000000149011612,0.16302466632629448,0.362567619328206,0.2651672524328124,0.23165196116213504,0.12991334965944826
Mario Chalmers,2013-14,2178.0,2.5,1.834643513338845,1.3162294924756301,1.2860402081648505,1.2114259844662412,1.6933043564386967
Anthony Davis,2013-14,2358.0,2.299999952316284,1.06352742177884,0.9822192269381222,0.9627008270846362,0.8216323860677475,0.9893466935637715
Robin Lopez,2013-14,2603.0,2.0,2.1776903447002134,1.8774769641048494,1.7919370358062714,1.7538221623981247,2.1220366521826537
Damian Lillard,2013-14,2937.0,-1.5,-0.6741768810935336,-0.8310754140094122,-0.8356278579254195,-0.8444371845865558,-0.6920065374622094
Paul Millsap,2013-14,2482.0,2.700000047683716,2.1754897757871685,2.0081897522849492,2.0053887429955224,1.9705080786861422,2.1357713846214175
