player,season,mp,y_offense,y_defense,y_total,ours_offense,ours_defense,direct_defense,hat_defense,ours_total,direct_total,struct_offense,struct_defense,struct_total,eRO,eRD,eRT,paine_mp,match
Kevin Durant,2013-14,3122.0,7.599999904632568,-0.6000000238418579,7.099999904632568,6.794998251765283,-0.15783054617128314,-0.09735726476935867,-0.24854046827416987,6.637167705594,6.768535031809077,5.195248792746827,-0.16989455078009943,5.025354241966728,7.408909747,-0.196188377,7.21272137,3122.0,exact
Chris Paul,2013-14,2171.0,7.099999904632568,3.9000000953674316,11.0,6.087177547066031,2.1693721341772148,2.2798608998536647,2.0036389856625396,8.256549681243246,8.3320439448884,5.91981164699127,0.7726058225775883,6.692417469568857,6.788261414,2.001470813,8.789732227,2171.0,exact
Kevin Love,2013-14,2797.0,5.699999809265137,0.8999999761581421,6.599999904632568,5.735227339191354,-0.06384485131875335,-0.11259923305384927,0.00928672128389052,5.6713824878726005,5.0131937400051285,4.427254165466403,0.42861659674189956,4.855870762208302,4.764739931,0.096116361,4.860856293,2797.0,exact
James Harden,2013-14,2777.0,6.300000190734863,-0.30000001192092896,6.099999904632568,6.4761653318254035,-0.005098550365190836,-0.05908059445525176,0.07587451576990055,6.4710667814602125,6.0582107166177215,3.1874925286581055,0.015945492743778586,3.203438021401884,5.288509071,0.20885896999999998,5.49736804,2777.0,exact
Kyle Lowry,2013-14,2862.0,4.400000095367432,1.2999999523162842,5.699999809265137,4.345676957163371,0.7028159633534892,0.5878964048666576,0.8751953010837363,5.0484929205168605,4.887693834070414,4.515400469209849,0.839726466306416,5.355126935516266,3.7099056409999998,0.558947893,4.268853534,2862.0,exact
Joakim Noah,2013-14,2820.0,1.5,4.5,5.900000095367432,0.6426727462915913,3.399289989645519,3.1298828498705262,3.8034006993080083,4.04196273593711,3.764945745219764,0.7683915854205179,3.748574966077033,4.516966551497551,1.171157008,3.050231063,4.221388071,2820.0,exact
Paul George,2013-14,2898.0,2.5999999046325684,2.9000000953674316,5.599999904632568,2.9540785561668144,2.881135631163036,2.773297927737938,3.0428921863006835,5.83521418732985,6.13444039773702,3.365220034331625,2.7362723192585934,6.101492353590219,2.458816276,2.624825375,5.083641651,2898.0,exact
LeBron James,2013-14,2902.0,5.800000190734863,-1.2999999523162842,4.599999904632568,6.884552510934516,-0.3630377725162661,-0.2878174926741108,-0.47586819227949917,6.52151473841825,6.646130858588871,3.3326942427902706,-0.7230864572743376,2.6096077855159328,6.802156098,-0.032012307,6.770143791,2902.0,exact
Goran Dragic,2013-14,2668.0,4.800000190734863,0.20000000298023224,5.0,4.9395190458847855,-0.6081187280915391,-0.560227003292905,-0.6799563152894904,4.331400317793246,4.619206919465481,2.019335149751165,-0.8130273964887049,1.2063077532624602,4.874634502,-0.166298167,4.708336335,2668.0,fuzzy
Dirk Nowitzki,2013-14,2628.0,4.400000095367432,0.4000000059604645,4.699999809265137,4.174987689986993,0.3376949946885049,0.3298555694825694,0.34945413249740814,4.5126826846754975,4.411047072388143,3.0848723660730637,0.06427939446032122,3.149151760533385,4.33425307,-0.528633181,3.805619889,2628.0,exact
Carmelo Anthony,2013-14,2982.0,4.199999809265137,-0.4000000059604645,3.799999952316284,4.492742848002125,-0.2002882967672756,-0.2010021475372261,-0.19921752061234985,4.29245455123485,4.188386519733591,4.230720102455692,-0.7759409319797412,3.4547791704759505,3.7999880879999997,-0.516875534,3.283112554,2982.0,exact
Kawhi Leonard,2013-14,1923.0,1.7000000476837158,5.0,6.699999809265137,1.2334272241452016,3.9187438725713806,3.774599239903571,4.134960821573094,5.152171096716582,4.760933880235782,-0.8098817013470166,3.5082581376896838,2.698376436342667,2.513374201,3.439128243,5.952502444,1923.0,exact
DeMarcus Cousins,2013-14,2298.0,1.7000000476837158,3.299999952316284,5.0,0.483756476481154,2.587715274859624,2.509863327593982,2.704493195758088,3.0714717513407783,2.45714363373522,1.2972059342384272,1.9029895046221965,3.2001954388606237,2.149256896,1.452255703,3.601512599,2298.0,exact
Ricky Rubio,2013-14,2638.0,1.899999976158142,1.7999999523162842,3.700000047683716,2.2644643565639773,1.4150390945587485,1.4074385619155727,1.4264398935235125,3.679503451122726,4.2858036584865085,1.2542803407617802,0.09026918105587359,1.3445495218176537,1.11820116,2.788866443,3.907067603,2638.0,exact
Jimmy Butler,2013-14,2591.0,0.5,3.4000000953674316,3.9000000953674316,0.5881764594142048,2.718350447815035,2.6285245729804907,2.853089260066852,3.3065269072292396,3.547159722870384,0.05795417776232281,2.895338085175979,2.9532922629383016,0.13927438,3.17006237,3.30933675,2591.0,exact
